univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
41,S,C,75,92,180,202,376,473,17,24
41,D,B,232,254,213,215,206,209,37,92
41,A,A,66,96,155,340,543,847,27,39
41,Z,C,4,29,20,82,131,176,14,17
41,C,G,13,5,9,29,42,50,8,7
41,Y,C,89,136,170,238,299,356,25,51
41,M,F,9,50,65,84,97,140,11,13
41,K,D,38,44,54,81,83,112,12,12
41,A,C,289,307,293,267,268,214,34,65
41,M,G,288,295,329,351,315,327,47,154
42,C,K,220,223,210,218,283,310,22,34
42,Y,V,101,90,93,101,125,133,20,30
42,E,A,944,970,904,864,738,663,49,110
42,Y,B,382,351,598,581,671,687,34,60
42,V,S,211,222,197,186,190,123,43,133
42,L,X,697,744,817,1227,1872,2530,51,130
42,D,A,155,128,110,109,88,69,24,40
42,J,C,217,317,288,328,407,485,32,52
42,M,G,83,91,65,73,57,61,24,27
42,J,H,127,153,167,168,266,281,20,33
43,P,C,381,366,366,364,340,290,56,183
43,P,K,189,208,253,236,252,206,39,166
43,X,J,61,59,138,209,415,737,21,38
43,A,K,204,199,212,214,299,255,22,32
43,R,H,161,171,182,166,185,211,29,51
43,D,L,569,581,648,620,759,668,64,200
43,D,M,503,420,405,347,334,300,54,160
43,K,P,376,348,334,324,310,292,45,112
43,R,R,513,444,419,371,388,431,59,153
43,A,L,475,598,590,484,413,374,30,79
44,Z,B,41,63,76,73,64,102,10,10
44,M,C,906,929,925,764,779,760,44,134
44,E,H,198,248,296,343,522,634,33,61
44,L,H,336,222,224,262,238,232,46,146
44,W,H,3101,2923,2604,2318,2205,1911,60,149
44,R,H,76,97,112,123,135,130,15,18
44,D,G,696,701,775,801,844,837,44,96
44,Z,D,135,234,328,459,621,809,29,70
44,C,D,342,322,347,237,223,214,33,81
44,J,C,178,162,215,200,215,233,18,23
45,A ,C,2244,2070,2008,1951,2229,2368,91,272
45,D,B,77,110,77,117,116,142,20,30
45,S,J,14,18,30,58,83,93,9,8
45,P,J,46,72,59,76,49,62,21,30
45,W,J,341,387,480,447,481,488,42,81
45,G,G,265,209,242,234,272,399,28,42
45,H,C,31,27,26,26,21,50,8,8
45,D,C,178,195,201,302,267,369,29,48
45,M,C,308,271,286,233,222,190,33,59
45,S,B,179,161,158,200,163,161,26,51
46,A,G,110,151,165,200,266,244,14,16
46,I,A,303,315,323,264,298,327,33,65
46,P,D,2,5,5,50,92,110,7,6
46,B,M,429,474,501,551,690,679,37,62
46,S,M,1354,1771,2190,2714,3564,3957,44,78
46,S,M,42,130,277,567,778,1110,26,40
46,B,C,90,107,116,184,195,230,18,26
46,Y,B,718,924,858,905,957,884,45,92
46,G,D,811,728,755,639,618,576,49,93
46,J,A,1062,1022,872,819,845,789,70,193
47,H,C,0,0,2,5,5,4,6,2
47,D,F,3,4,3,2,2,2,3,1
47,M,K,270,264,284,299,339,400,37,68
47,E,A,357,321,323,360,397,411,31,59
47,S,R,184,209,199,225,233,252,20,33
47,O,O,6,13,22,33,43,28,7,5
47,K,X,121,158,173,172,168,189,18,22
47,J,L,132,145,195,289,328,375,29,59
47,M,L,419,420,396,347,295,294,32,44
47,S,K,12,22,31,60,97,175,11,14
48,S,K,360,604,457,385,489,406,26,30
48,P,A,17,23,26,21,30,47,7,7
48,F,L,206,175,248,257,328,332,23,32
48,A,J,272,385,334,287,283,237,21,27
48,M,B,78,98,73,157,186,288,18,34
48,T,H,10,12,4,7,8,6,4,1
48,J,C,59,55,59,56,59,58,9,9
48,L,F,38,52,67,65,133,184,15,21
48,T,F,779,625,780,811,754,810,35,70
48,M,F,8,8,5,22,32,37,5,3
49,R,B,289,294,334,363,439,424,40,96
49,A,D,222,312,437,537,631,614,33,99
49,D,F,328,346,330,290,294,276,31,55
49,A,G,582,593,528,483,521,406,50,200
49,Y,H,5334,6146,7748,9273,10781,11911,137,528
49,T,B,16,22,50,101,120,129,11,15
49,B,D,1121,1046,1154,1422,1491,1381,71,256
49,T,J,120,226,345,509,646,947,32,84
49,G,K,777,849,791,770,687,620,59,217
49,S,K,72,164,312,555,814,1039,26,41
50,S,H,571,638,675,618,614,605,33,61
50,G,K,17,20,53,54,45,42,5,5
50,A,C,2446,2820,3060,3250,3486,3388,49,80
50,N,C,453,699,683,728,821,824,36,89
50,T,C,55,64,106,173,227,338,19,40
50,L,C,506,435,419,467,442,370,31,56
50,R,F,85,77,94,103,149,199,19,34
50,J,G,90,130,149,159,136,161,20,29
50,D,G,40,53,109,195,246,390,16,25
50,B,H,72,105,120,170,216,260,17,20
